"country","year","gdp","growth","underval"
"AFG",1975,2193.85034179688,0.0227046012878418,0.962889015674591
"AFG",1980,2383.64672851562,0.0162165649235249,1.09697008132935
"AFG",1985,2297.310546875,-0.00830888748168945,0.788066148757935
"AFG",1990,1439.66833496094,-0.0973298996686935,-0.571885049343109
"AFG",1995,963.49609375,-0.0754992514848709,0.497993499040604
"AFG",2000,518.31640625,-0.125151246786118,-0.00692643690854311
"ALB",1995,2748.05932617188,0.0444094650447369,0.358637690544128
"ALB",2000,4129.03369140625,0.0821290984749794,0.164152771234512
"ANT",1975,13079.07421875,0.010581779293716,0.230963557958603
"ANT",1980,14780.2529296875,0.0247821807861328,0.144004285335541
"ANT",1985,13008.9443359375,-0.0255559924989939,-0.290607869625092
"ANT",1990,14399.84375,0.0202371589839458,-0.416644334793091
"ANT",1995,14990.185546875,0.00820064544677734,-0.498045474290848
"ANT",2000,14045.7294921875,-0.0129856113344431,-0.670115053653717
"ARE",1975,43165.59765625,0.217543035745621,-0.131442040205002
"ARE",1980,38153.921875,-0.0275018699467182,-0.189356744289398
"ARE",1985,22000.9140625,-0.10836086422205,-0.264379322528839
"ARE",1990,24195.69140625,0.0202217102050781,-0.298932492733002
"ARE",1995,27755.7265625,0.0273431781679392,-0.391270607709885
"ARE",2000,33416.2109375,0.0372329726815224,-0.450249433517456
"ARG",1955,7453.7509765625,0.0160894393920898,-0.468005299568176
"ARG",1960,7880.41162109375,0.0111621860414743,-0.28478017449379
"ARG",1965,8968.3564453125,0.0257429126650095,-0.167266607284546
"ARG",1970,10166.615234375,0.0251991264522076,-0.314240485429764
"ARG",1975,10456.9580078125,0.00565433502197266,0.155350252985954
"ARG",1980,10026.1513671875,-0.0085929874330759,0.00874614715576172
"ARG",1985,9155.4814453125,-0.0181543342769146,0.268692791461945
"ARG",1990,9759.5,0.0118986126035452,-0.25917312502861
"ARG",1995,11319.2861328125,0.0305505748838186,-0.296191662549973
"ARG",2000,10538.69140625,-0.014438247308135,0.178952813148499
"ATG",1975,4791.73193359375,-0.0125417709350586,0.251522481441498
"ATG",1980,6100.3369140625,0.0469745621085167,0.141440451145172
"ATG",1985,8602.849609375,0.0689945220947266,-0.0606911294162273
"ATG",1990,11454.18359375,0.0583154670894146,-0.0596692599356174
"ATG",1995,13027.1171875,0.0257986076176167,-0.139413997530937
"ATG",2000,14870.32421875,0.0265764240175486,-0.208720266819
"AUS",1955,10193.9345703125,0.0201652534306049,-0.0454378202557564
"AUS",1960,11310.7626953125,0.0206336975097656,-0.136675655841827
"AUS",1965,13246.05859375,0.0315441116690636,-0.167050018906593
"AUS",1970,15337.0693359375,0.0295557025820017,-0.310322731733322
"AUS",1975,16433.279296875,0.0138025283813477,-0.345104843378067
"AUS",1980,17859.4609375,0.0166788101196289,-0.336369961500168
"AUS",1985,19888.529296875,0.0214679725468159,-0.309248477220535
"AUS",1990,20930.181640625,0.0102212904021144,-0.455250948667526
"AUS",1995,24092.681640625,0.0280229561030865,-0.426510065793991
"AUS",2000,27069.85546875,0.0234199520200491,-0.351618319749832
"AUT",1955,6976.17041015625,0.0575847625732422,0.255500078201294
"AUT",1960,9093.7802734375,0.0531015396118164,0.202881142497063
"AUT",1965,10956.515625,0.0372121818363667,0.150905802845955
"AUT",1970,14059.611328125,0.049746323376894,0.0698127821087837
"AUT",1975,16439.478515625,0.0314350128173828,-0.0869899615645409
"AUT",1980,18271.62109375,0.0213815681636333,-0.00482414150610566
"AUT",1985,20162.486328125,0.01959228515625,-0.247419476509094
"AUT",1990,22860.28515625,0.0252298358827829,-0.544622182846069
"AUT",1995,24708.0390625,0.0154352188110352,-0.599850594997406
"AUT",2000,27452.181640625,0.021177101880312,-0.488495111465454
"AZE",1995,2479.80322265625,-0.0594133362174034,0.655136048793793
"AZE",2000,3723.13134765625,0.0831941589713097,0.571047604084015
"BDI",1965,658.499938964844,0.0113432882353663,0.0621178932487965
"BDI",1970,800.652954101562,0.0391991622745991,0.165696769952774
"BDI",1975,879.328735351562,0.0184745788574219,0.135195329785347
"BDI",1980,895.602966308594,0.0038978576194495,-0.0947417691349983
"BDI",1985,966.985046386719,0.0151881221681833,0.0745390355587006
"BDI",1990,1008.34655761719,0.00749025354161859,0.24947364628315
"BDI",1995,796.18994140625,-0.0463238731026649,0.269743382930756
"BDI",2000,734.438720703125,-0.0161036495119333,0.538742184638977
"BEL",1955,7531.478515625,0.0242151264101267,-0.0489611104130745
"BEL",1960,8888.34375,0.0326919555664062,-0.0943589955568314
"BEL",1965,10817.5634765625,0.0394422523677349,-0.146689385175705
"BEL",1970,13666.2119140625,0.0466285720467567,-0.208387657999992
"BEL",1975,15609.35546875,0.0268844608217478,-0.378411799669266
"BEL",1980,17039.630859375,0.0176586154848337,-0.159532904624939
"BEL",1985,18662.130859375,0.0179780963808298,-0.297626972198486
"BEL",1990,21022.19921875,0.0240245815366507,-0.574549913406372
"BEL",1995,22751.1796875,0.0157341007143259,-0.626654982566833
"BEL",2000,25147.826171875,0.0200941078364849,-0.547112345695496
"BEN",1960,931.082275390625,0.00809345208108425,-0.25186687707901
"BEN",1965,1056.8779296875,0.0253945346921682,-0.142400965094566
"BEN",1970,1188.84399414062,0.0232794769108295,-0.0349583923816681
"BEN",1975,1085.34545898438,-0.0183835979551077,-0.265366971492767
"BEN",1980,1125.98754882812,0.00776290893554688,-0.177284449338913
"BEN",1985,1144.04956054688,0.00313358311541378,-0.0399197526276112
"BEN",1990,1114.78405761719,-0.00506763439625502,-0.21586312353611
